path,true_label,pred_label,forced_to_others,abstained,raw_top_conf,raw_margin,entropy
/content/drive/MyDrive/AImodels/codes/experiments/Mark5/data_test/construction/construction_test_001.wav,construction,construction,False,False,0.9395373463630676,0.9250114010646939,0.1565440078792543
/content/drive/MyDrive/AImodels/codes/experiments/Mark5/data_test/construction/construction_test_002.wav,construction,construction,False,False,0.5906963348388672,0.4236599802970886,0.5660623868177311
/content/drive/MyDrive/AImodels/codes/experiments/Mark5/data_test/construction/construction_test_003.wav,construction,construction,False,False,0.862113356590271,0.8187765292823315,0.28894468821192504
/content/drive/MyDrive/AImodels/codes/experiments/Mark5/data_test/construction/construction_test_004.wav,construction,dragging,False,False,0.48657387495040894,0.2620263993740082,0.6441424587321585
/content/drive/MyDrive/AImodels/codes/experiments/Mark5/data_test/construction/construction_test_005.wav,construction,construction,False,False,0.8750120997428894,0.8345036953687668,0.26978593729039735
/content/drive/MyDrive/AImodels/codes/experiments/Mark5/data_test/construction/construction_test_006.wav,construction,construction,False,False,0.946198046207428,0.9268940929323435,0.1398420628365651
/content/drive/MyDrive/AImodels/codes/experiments/Mark5/data_test/construction/construction_test_007.wav,construction,construction,False,False,0.9149942994117737,0.8895561564713717,0.20353205472842392
/content/drive/MyDrive/AImodels/codes/experiments/Mark5/data_test/construction/construction_test_008.wav,construction,construction,False,False,0.9494470953941345,0.9389822455123067,0.13574315000073758
/content/drive/MyDrive/AImodels/codes/experiments/Mark5/data_test/construction/construction_test_009.wav,construction,construction,False,False,0.9191609025001526,0.9017018284648657,0.19822267006072206
/content/drive/MyDrive/AImodels/codes/experiments/Mark5/data_test/construction/construction_test_010.wav,construction,construction,False,False,0.9230713844299316,0.9033879600465298,0.19218736037350165
/content/drive/MyDrive/AImodels/codes/experiments/Mark5/data_test/construction/construction_test_011.wav,construction,construction,False,False,0.9419904351234436,0.921859860420227,0.14987137074776746
/content/drive/MyDrive/AImodels/codes/experiments/Mark5/data_test/construction/construction_test_012.wav,construction,construction,False,False,0.9491111040115356,0.9371430072933435,0.13696828410738957
/content/drive/MyDrive/AImodels/codes/experiments/Mark5/data_test/construction/construction_test_013.wav,construction,construction,False,False,0.852150022983551,0.7729483395814896,0.2856663066551665
/content/drive/MyDrive/AImodels/codes/experiments/Mark5/data_test/construction/construction_test_014.wav,construction,construction,False,False,0.9219114780426025,0.8890528902411461,0.18405961793383188
/content/drive/MyDrive/AImodels/codes/experiments/Mark5/data_test/construction/construction_test_015.wav,construction,construction,False,False,0.9129610061645508,0.8883401155471802,0.20527009717986466
/content/drive/MyDrive/AImodels/codes/experiments/Mark5/data_test/construction/construction_test_016.wav,construction,construction,False,False,0.9483899474143982,0.9329810980707407,0.13590222415299683
/content/drive/MyDrive/AImodels/codes/experiments/Mark5/data_test/construction/construction_test_017.wav,construction,construction,False,False,0.8953514099121094,0.8584828563034534,0.236196062827821
/content/drive/MyDrive/AImodels/codes/experiments/Mark5/data_test/construction/construction_test_018.wav,construction,others,True,False,0.7669970989227295,0.6737352311611176,0.41293089114766474
/content/drive/MyDrive/AImodels/codes/experiments/Mark5/data_test/construction/construction_test_019.wav,construction,construction,False,False,0.9217073321342468,0.8955418150871992,0.18937861920913537
/content/drive/MyDrive/AImodels/codes/experiments/Mark5/data_test/construction/construction_test_020.wav,construction,construction,False,False,0.8954890966415405,0.8599924519658089,0.2366461851689597
/content/drive/MyDrive/AImodels/codes/experiments/Mark5/data_test/construction/construction_test_021.wav,construction,construction,False,False,0.9361586570739746,0.9080261457711458,0.1562496094758789
/content/drive/MyDrive/AImodels/codes/experiments/Mark5/data_test/construction/construction_test_022.wav,construction,construction,False,False,0.6022699475288391,0.3958137333393097,0.5667196799127586
/content/drive/MyDrive/AImodels/codes/experiments/Mark5/data_test/construction/construction_test_023.wav,construction,machine_noise,False,False,0.5854459404945374,0.3894933760166168,0.5871028731962448
/content/drive/MyDrive/AImodels/codes/experiments/Mark5/data_test/construction/construction_test_024.wav,construction,construction,False,False,0.8935699462890625,0.860299788415432,0.23767208324026584
/content/drive/MyDrive/AImodels/codes/experiments/Mark5/data_test/construction/construction_test_025.wav,construction,construction,False,False,0.9469072222709656,0.9344356749206781,0.13993826960344563
/content/drive/MyDrive/AImodels/codes/experiments/Mark5/data_test/construction/construction_test_026.wav,construction,construction,False,False,0.9524824023246765,0.9404517589136958,0.12732998827508635
/content/drive/MyDrive/AImodels/codes/experiments/Mark5/data_test/construction/construction_test_027.wav,construction,construction,False,False,0.9396026134490967,0.9235033076256514,0.15608718510912378
/content/drive/MyDrive/AImodels/codes/experiments/Mark5/data_test/construction/construction_test_028.wav,construction,construction,False,False,0.9256343245506287,0.8962913695722818,0.17857740560172972
/content/drive/MyDrive/AImodels/codes/experiments/Mark5/data_test/construction/construction_test_029.wav,construction,construction,False,False,0.9612786173820496,0.9522975767031312,0.10894791066269849
/content/drive/MyDrive/AImodels/codes/experiments/Mark5/data_test/construction/construction_test_030.wav,construction,construction,False,False,0.9386988282203674,0.9244384663179517,0.15823221758552106
/content/drive/MyDrive/AImodels/codes/experiments/Mark5/data_test/construction/construction_test_031.wav,construction,construction,False,False,0.9583278298377991,0.9497512513771653,0.11622475965670369
/content/drive/MyDrive/AImodels/codes/experiments/Mark5/data_test/construction/construction_test_032.wav,construction,construction,False,False,0.9423211216926575,0.9272860502824187,0.14977018613181814
/content/drive/MyDrive/AImodels/codes/experiments/Mark5/data_test/construction/construction_test_033.wav,construction,construction,False,False,0.9370651245117188,0.9201671108603477,0.16010425505317674
/content/drive/MyDrive/AImodels/codes/experiments/Mark5/data_test/construction/construction_test_034.wav,construction,construction,False,False,0.9230672717094421,0.8983683940023184,0.18495497971239055
/content/drive/MyDrive/AImodels/codes/experiments/Mark5/data_test/construction/construction_test_035.wav,construction,construction,False,False,0.9266613721847534,0.9021798279136419,0.17548700227452108
/content/drive/MyDrive/AImodels/codes/experiments/Mark5/data_test/construction/construction_test_036.wav,construction,construction,False,False,0.9233787655830383,0.896718218922615,0.18190008594611426
/content/drive/MyDrive/AImodels/codes/experiments/Mark5/data_test/construction/construction_test_037.wav,construction,construction,False,False,0.9274351596832275,0.8985679931938648,0.1743735103359494
